1,a round,around-RecordAudio.wav
2,be neath,beneath-RecordAudio.wav
3,in side,inside-RecordAudio.wav
4,on to,onto-RecordAudio.wav
5,un der neath,underneath-RecordAudio.wav
6,un til,until-RecordAudio.wav
7,with out,without-RecordAudio.wav
8,on,on-RecordAudio.wav
9,af ter,after-RecordAudio.wav
10,a long,along-RecordAudio.wav
11,a mong,among-RecordAudio.wav
12,be cause,because-RecordAudio.wav
13,be yond,beyond-RecordAudio.wav
14,in front of,in front of-RecordAudio.wav
15,in stead of,in stead of-RecordAudio.wav
16,than,than-RecordAudio.wav
17,de spite,de spite-RecordAudio.wav
18,a cross,a cross-RecordAudio.wav
